"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"1","Jan.",1,"Friday",2015,"Philadelphia, PA",302,119,0.282660332541568
"2","Jan.",1,"Friday",2016,"Boston, MA",165,48,0.225352112676056
"3","Jan.",1,"Friday",2016,"New York, NY",40,19,0.322033898305085
"4","Jan.",1,"Friday",2016,"Philadelphia, PA",443,95,0.176579925650558
"5","Jan.",1,"Friday",2018,"Philadelphia, PA",1042,16,0.0151228733459357
"6","Jan.",1,"Monday",2018,"Philadelphia, PA",380,53,0.122401847575058
"7","Jan.",1,"Saturday",2015,"Philadelphia, PA",100,35,0.259259259259259
"8","Jan.",1,"Saturday",2016,"Boston, MA",111,47,0.29746835443038
"9","Jan.",1,"Saturday",2016,"New York, NY",177,39,0.180555555555556
"10","Jan.",1,"Saturday",2016,"Philadelphia, PA",344,72,0.173076923076923
"11","Jan.",1,"Saturday",2018,"Philadelphia, PA",217,14,0.0606060606060606
"12","Jan.",1,"Sunday",2015,"Philadelphia, PA",236,61,0.205387205387205
"13","Jan.",1,"Sunday",2016,"Boston, MA",141,80,0.361990950226244
"14","Jan.",1,"Sunday",2016,"New York, NY",178,36,0.168224299065421
"15","Jan.",1,"Sunday",2016,"Philadelphia, PA",299,71,0.191891891891892
"16","Jan.",1,"Sunday",2017,"Philadelphia, PA",229,67,0.226351351351351
"17","Jan.",1,"Sunday",2018,"Philadelphia, PA",150,20,0.117647058823529
"18","Jan.",1,"Thursday",2015,"Philadelphia, PA",214,49,0.186311787072243
"19","Jan.",1,"Thursday",2018,"Philadelphia, PA",479,17,0.0342741935483871
"20","Jan.",1,"Tuesday",2018,"Philadelphia, PA",392,57,0.126948775055679
"21","Jan.",1,"Wednesday",2018,"Philadelphia, PA",368,46,0.111111111111111
"22","Jan.",2,"Friday",2015,"Philadelphia, PA",299,194,0.393509127789047
"23","Jan.",2,"Friday",2016,"Boston, MA",39,19,0.327586206896552
"24","Jan.",2,"Friday",2016,"New York, NY",156,48,0.235294117647059
"25","Jan.",2,"Friday",2016,"Philadelphia, PA",354,216,0.378947368421053
"26","Jan.",2,"Friday",2017,"Philadelphia, PA",386,91,0.190775681341719
"27","Jan.",2,"Friday",2018,"Philadelphia, PA",430,64,0.129554655870445
"28","Jan.",2,"Monday",2015,"Philadelphia, PA",219,118,0.350148367952522
"29","Jan.",2,"Monday",2016,"Boston, MA",151,75,0.331858407079646
"30","Jan.",2,"Monday",2016,"New York, NY",202,70,0.257352941176471
"31","Jan.",2,"Monday",2016,"Philadelphia, PA",337,99,0.227064220183486
"32","Jan.",2,"Monday",2017,"Philadelphia, PA",331,112,0.252821670428894
"33","Jan.",2,"Monday",2018,"Philadelphia, PA",348,16,0.043956043956044
"34","Jan.",2,"Saturday",2015,"Philadelphia, PA",247,114,0.315789473684211
"35","Jan.",2,"Saturday",2016,"Boston, MA",14,15,0.517241379310345
"36","Jan.",2,"Saturday",2016,"New York, NY",83,30,0.265486725663717
"37","Jan.",2,"Saturday",2016,"Philadelphia, PA",194,140,0.419161676646707
"38","Jan.",2,"Saturday",2017,"Philadelphia, PA",292,90,0.235602094240838
