"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"1","Jan.",1,"Friday",2015,"Philadelphia, PA",330,91,0.216152019002375
"2","Jan.",1,"Friday",2016,"Boston, MA",165,48,0.225352112676056
"3","Jan.",1,"Friday",2016,"New York, NY",39,20,0.338983050847458
"4","Jan.",1,"Friday",2016,"Philadelphia, PA",460,78,0.144981412639405
"5","Jan.",1,"Friday",2018,"Philadelphia, PA",974,84,0.0793950850661626
"6","Jan.",1,"Monday",2018,"Philadelphia, PA",346,87,0.200923787528868
"7","Jan.",1,"Saturday",2015,"Philadelphia, PA",98,37,0.274074074074074
"8","Jan.",1,"Saturday",2016,"Boston, MA",126,32,0.20253164556962
"9","Jan.",1,"Saturday",2016,"New York, NY",187,29,0.134259259259259
"10","Jan.",1,"Saturday",2016,"Philadelphia, PA",380,36,0.0865384615384615
"11","Jan.",1,"Saturday",2018,"Philadelphia, PA",197,34,0.147186147186147
"12","Jan.",1,"Sunday",2015,"Philadelphia, PA",238,59,0.198653198653199
"13","Jan.",1,"Sunday",2016,"Boston, MA",176,45,0.203619909502262
"14","Jan.",1,"Sunday",2016,"New York, NY",164,50,0.233644859813084
"15","Jan.",1,"Sunday",2016,"Philadelphia, PA",326,44,0.118918918918919
"16","Jan.",1,"Sunday",2017,"Philadelphia, PA",264,32,0.108108108108108
"17","Jan.",1,"Sunday",2018,"Philadelphia, PA",128,42,0.247058823529412
"18","Jan.",1,"Thursday",2015,"Philadelphia, PA",199,64,0.243346007604563
"19","Jan.",1,"Thursday",2018,"Philadelphia, PA",468,28,0.0564516129032258
"20","Jan.",1,"Tuesday",2018,"Philadelphia, PA",365,84,0.187082405345212
"21","Jan.",1,"Wednesday",2018,"Philadelphia, PA",321,93,0.22463768115942
"22","Jan.",2,"Friday",2015,"Philadelphia, PA",415,78,0.158215010141988
"23","Jan.",2,"Friday",2016,"Boston, MA",39,19,0.327586206896552
"24","Jan.",2,"Friday",2016,"New York, NY",167,37,0.181372549019608
"25","Jan.",2,"Friday",2016,"Philadelphia, PA",470,100,0.175438596491228
"26","Jan.",2,"Friday",2017,"Philadelphia, PA",400,77,0.161425576519916
"27","Jan.",2,"Friday",2018,"Philadelphia, PA",444,50,0.101214574898785
"28","Jan.",2,"Monday",2015,"Philadelphia, PA",262,75,0.222551928783383
"29","Jan.",2,"Monday",2016,"Boston, MA",200,26,0.115044247787611
"30","Jan.",2,"Monday",2016,"New York, NY",245,27,0.0992647058823529
"31","Jan.",2,"Monday",2016,"Philadelphia, PA",352,84,0.192660550458716
"32","Jan.",2,"Monday",2017,"Philadelphia, PA",381,62,0.139954853273138
"33","Jan.",2,"Monday",2018,"Philadelphia, PA",282,82,0.225274725274725
"34","Jan.",2,"Saturday",2015,"Philadelphia, PA",320,41,0.113573407202216
"35","Jan.",2,"Saturday",2016,"Boston, MA",26,3,0.103448275862069
"36","Jan.",2,"Saturday",2016,"New York, NY",105,8,0.0707964601769911
"37","Jan.",2,"Saturday",2016,"Philadelphia, PA",301,33,0.0988023952095808
"38","Jan.",2,"Saturday",2017,"Philadelphia, PA",359,23,0.0602094240837696
"39","Jan.",2,"Saturday",2018,"Philadelphia, PA",234,34,0.126865671641791
"40","Jan.",2,"Sunday",2015,"Philadelphia, PA",205,23,0.100877192982456
"41","Jan.",2,"Sunday",2016,"Boston, MA",140,36,0.204545454545455
"42","Jan.",2,"Sunday",2016,"New York, NY",54,3,0.0526315789473684
"43","Jan.",2,"Sunday",2016,"Philadelphia, PA",397,35,0.0810185185185185
"44","Jan.",2,"Sunday",2017,"Philadelphia, PA",533,89,0.143086816720257
"45","Jan.",2,"Sunday",2018,"Philadelphia, PA",308,57,0.156164383561644
"46","Jan.",2,"Thursday",2015,"Philadelphia, PA",260,70,0.212121212121212
"47","Jan.",2,"Thursday",2016,"Boston, MA",272,67,0.1976401179941
"48","Jan.",2,"Thursday",2016,"New York, NY",221,33,0.12992125984252
"49","Jan.",2,"Thursday",2016,"Philadelphia, PA",533,90,0.14446227929374
"50","Jan.",2,"Thursday",2017,"Philadelphia, PA",446,70,0.135658914728682
"51","Jan.",2,"Thursday",2018,"Philadelphia, PA",212,93,0.304918032786885
"52","Jan.",2,"Tuesday",2015,"Philadelphia, PA",370,60,0.13953488372093
"53","Jan.",2,"Tuesday",2016,"Boston, MA",248,35,0.123674911660777
"54","Jan.",2,"Tuesday",2016,"New York, NY",209,15,0.0669642857142857
"55","Jan.",2,"Tuesday",2016,"Philadelphia, PA",417,98,0.190291262135922
"56","Jan.",2,"Tuesday",2017,"Philadelphia, PA",459,65,0.124045801526718
"57","Jan.",2,"Tuesday",2018,"Philadelphia, PA",343,100,0.225733634311512
"58","Jan.",2,"Wednesday",2015,"Philadelphia, PA",339,76,0.183132530120482
"59","Jan.",2,"Wednesday",2016,"Boston, MA",112,21,0.157894736842105
"60","Jan.",2,"Wednesday",2016,"New York, NY",332,31,0.0853994490358127
"61","Jan.",2,"Wednesday",2016,"Philadelphia, PA",440,75,0.145631067961165
"62","Jan.",2,"Wednesday",2017,"Philadelphia, PA",604,145,0.193591455273698
"63","Jan.",2,"Wednesday",2018,"Philadelphia, PA",233,70,0.231023102310231
"64","Jan.",3,"Friday",2015,"Philadelphia, PA",386,149,0.278504672897196
"65","Jan.",3,"Friday",2016,"Boston, MA",274,46,0.14375
"66","Jan.",3,"Friday",2016,"New York, NY",265,20,0.0701754385964912
