"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"1","Jan.",1,"Friday",2015,"Philadelphia, PA",398,23,0.0546318289786223
"2","Jan.",1,"Friday",2016,"Boston, MA",195,18,0.0845070422535211
"3","Jan.",1,"Friday",2016,"New York, NY",54,5,0.0847457627118644
"4","Jan.",1,"Friday",2016,"Philadelphia, PA",487,51,0.0947955390334572
"5","Jan.",1,"Friday",2018,"Philadelphia, PA",1044,14,0.0132325141776938
"6","Jan.",1,"Monday",2018,"Philadelphia, PA",418,15,0.0346420323325635
"7","Jan.",1,"Saturday",2015,"Philadelphia, PA",126,9,0.0666666666666667
"8","Jan.",1,"Saturday",2016,"Boston, MA",146,12,0.0759493670886076
"9","Jan.",1,"Saturday",2016,"New York, NY",210,6,0.0277777777777778
"10","Jan.",1,"Saturday",2016,"Philadelphia, PA",380,36,0.0865384615384615
"11","Jan.",1,"Saturday",2018,"Philadelphia, PA",212,19,0.0822510822510823
"12","Jan.",1,"Sunday",2015,"Philadelphia, PA",287,10,0.0336700336700337
"13","Jan.",1,"Sunday",2016,"Boston, MA",200,21,0.0950226244343891
"14","Jan.",1,"Sunday",2016,"New York, NY",205,9,0.0420560747663551
"15","Jan.",1,"Sunday",2016,"Philadelphia, PA",333,37,0.1
"16","Jan.",1,"Sunday",2017,"Philadelphia, PA",278,18,0.0608108108108108
"17","Jan.",1,"Sunday",2018,"Philadelphia, PA",156,14,0.0823529411764706
"18","Jan.",1,"Thursday",2015,"Philadelphia, PA",249,14,0.0532319391634981
"19","Jan.",1,"Thursday",2018,"Philadelphia, PA",489,7,0.0141129032258065
"20","Jan.",1,"Tuesday",2018,"Philadelphia, PA",404,45,0.10022271714922
"21","Jan.",1,"Wednesday",2018,"Philadelphia, PA",395,19,0.0458937198067633
"22","Jan.",2,"Friday",2015,"Philadelphia, PA",450,43,0.0872210953346856
"23","Jan.",2,"Friday",2016,"Boston, MA",52,6,0.103448275862069
"24","Jan.",2,"Friday",2016,"New York, NY",192,12,0.0588235294117647
"25","Jan.",2,"Friday",2016,"Philadelphia, PA",472,98,0.171929824561404
"26","Jan.",2,"Friday",2017,"Philadelphia, PA",465,12,0.0251572327044025
"27","Jan.",2,"Friday",2018,"Philadelphia, PA",471,23,0.0465587044534413
"28","Jan.",2,"Monday",2015,"Philadelphia, PA",298,39,0.115727002967359
"29","Jan.",2,"Monday",2016,"Boston, MA",205,21,0.0929203539823009
"30","Jan.",2,"Monday",2016,"New York, NY",234,38,0.139705882352941
"31","Jan.",2,"Monday",2016,"Philadelphia, PA",342,94,0.215596330275229
"32","Jan.",2,"Monday",2017,"Philadelphia, PA",423,20,0.0451467268623025
"33","Jan.",2,"Monday",2018,"Philadelphia, PA",353,11,0.0302197802197802
"34","Jan.",2,"Saturday",2015,"Philadelphia, PA",339,22,0.0609418282548476
"35","Jan.",2,"Saturday",2016,"Boston, MA",25,4,0.137931034482759
"36","Jan.",2,"Saturday",2016,"New York, NY",105,8,0.0707964601769911
"37","Jan.",2,"Saturday",2016,"Philadelphia, PA",311,23,0.0688622754491018
"38","Jan.",2,"Saturday",2017,"Philadelphia, PA",375,7,0.0183246073298429
"39","Jan.",2,"Saturday",2018,"Philadelphia, PA",257,11,0.041044776119403
"40","Jan.",2,"Sunday",2015,"Philadelphia, PA",211,17,0.0745614035087719
"41","Jan.",2,"Sunday",2016,"Boston, MA",165,11,0.0625
"42","Jan.",2,"Sunday",2016,"New York, NY",55,2,0.0350877192982456
"43","Jan.",2,"Sunday",2016,"Philadelphia, PA",421,11,0.025462962962963
"44","Jan.",2,"Sunday",2017,"Philadelphia, PA",579,43,0.0691318327974277
"45","Jan.",2,"Sunday",2018,"Philadelphia, PA",348,17,0.0465753424657534
