"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"1","Jan.",1,"Friday",2015,"Philadelphia, PA",399,22,0.0522565320665083
"2","Jan.",1,"Friday",2016,"Boston, MA",197,16,0.0751173708920188
"3","Jan.",1,"Friday",2016,"New York, NY",56,3,0.0508474576271186
"4","Jan.",1,"Friday",2016,"Philadelphia, PA",521,17,0.0315985130111524
"5","Jan.",1,"Friday",2018,"Philadelphia, PA",1033,25,0.0236294896030246
"6","Jan.",1,"Monday",2018,"Philadelphia, PA",404,29,0.0669745958429561
"7","Jan.",1,"Saturday",2015,"Philadelphia, PA",129,6,0.0444444444444444
"8","Jan.",1,"Saturday",2016,"Boston, MA",145,13,0.0822784810126582
"9","Jan.",1,"Saturday",2016,"New York, NY",214,2,0.00925925925925926
"10","Jan.",1,"Saturday",2016,"Philadelphia, PA",405,11,0.0264423076923077
"11","Jan.",1,"Saturday",2018,"Philadelphia, PA",218,13,0.0562770562770563
"12","Jan.",1,"Sunday",2015,"Philadelphia, PA",286,11,0.037037037037037
"13","Jan.",1,"Sunday",2016,"Boston, MA",189,32,0.144796380090498
"14","Jan.",1,"Sunday",2016,"New York, NY",200,14,0.0654205607476635
"15","Jan.",1,"Sunday",2016,"Philadelphia, PA",346,24,0.0648648648648649
"16","Jan.",1,"Sunday",2017,"Philadelphia, PA",276,20,0.0675675675675676
"17","Jan.",1,"Sunday",2018,"Philadelphia, PA",159,11,0.0647058823529412
"18","Jan.",1,"Thursday",2015,"Philadelphia, PA",246,17,0.064638783269962
"19","Jan.",1,"Thursday",2018,"Philadelphia, PA",487,9,0.0181451612903226
"20","Jan.",1,"Tuesday",2018,"Philadelphia, PA",424,25,0.0556792873051225
"21","Jan.",1,"Wednesday",2018,"Philadelphia, PA",381,33,0.0797101449275362
"22","Jan.",2,"Friday",2015,"Philadelphia, PA",464,29,0.0588235294117647
"23","Jan.",2,"Friday",2016,"Boston, MA",53,5,0.0862068965517241
"24","Jan.",2,"Friday",2016,"New York, NY",195,9,0.0441176470588235
"25","Jan.",2,"Friday",2016,"Philadelphia, PA",541,29,0.0508771929824561
"26","Jan.",2,"Friday",2017,"Philadelphia, PA",444,33,0.0691823899371069
"27","Jan.",2,"Friday",2018,"Philadelphia, PA",437,57,0.115384615384615
"28","Jan.",2,"Monday",2015,"Philadelphia, PA",325,12,0.0356083086053412
"29","Jan.",2,"Monday",2016,"Boston, MA",190,36,0.15929203539823
"30","Jan.",2,"Monday",2016,"New York, NY",254,18,0.0661764705882353
"31","Jan.",2,"Monday",2016,"Philadelphia, PA",387,49,0.112385321100917
"32","Jan.",2,"Monday",2017,"Philadelphia, PA",414,29,0.0654627539503386
"33","Jan.",2,"Monday",2018,"Philadelphia, PA",349,15,0.0412087912087912
"34","Jan.",2,"Saturday",2015,"Philadelphia, PA",348,13,0.03601108033241
"35","Jan.",2,"Saturday",2016,"Boston, MA",25,4,0.137931034482759
"36","Jan.",2,"Saturday",2016,"New York, NY",113,0,0
"37","Jan.",2,"Saturday",2016,"Philadelphia, PA",320,14,0.0419161676646707
"38","Jan.",2,"Saturday",2017,"Philadelphia, PA",363,19,0.049738219895288
"39","Jan.",2,"Saturday",2018,"Philadelphia, PA",248,20,0.0746268656716418
"40","Jan.",2,"Sunday",2015,"Philadelphia, PA",221,7,0.0307017543859649
"41","Jan.",2,"Sunday",2016,"Boston, MA",169,7,0.0397727272727273
"42","Jan.",2,"Sunday",2016,"New York, NY",54,3,0.0526315789473684
"43","Jan.",2,"Sunday",2016,"Philadelphia, PA",415,17,0.0393518518518519
"44","Jan.",2,"Sunday",2017,"Philadelphia, PA",570,52,0.0836012861736334
"45","Jan.",2,"Sunday",2018,"Philadelphia, PA",350,15,0.0410958904109589
"46","Jan.",2,"Thursday",2015,"Philadelphia, PA",323,7,0.0212121212121212
"47","Jan.",2,"Thursday",2016,"Boston, MA",315,24,0.0707964601769911
"48","Jan.",2,"Thursday",2016,"New York, NY",244,10,0.0393700787401575
"49","Jan.",2,"Thursday",2016,"Philadelphia, PA",594,29,0.0465489566613162
"50","Jan.",2,"Thursday",2017,"Philadelphia, PA",461,55,0.106589147286822
"51","Jan.",2,"Thursday",2018,"Philadelphia, PA",293,12,0.039344262295082
"52","Jan.",2,"Tuesday",2015,"Philadelphia, PA",423,7,0.0162790697674419
"53","Jan.",2,"Tuesday",2016,"Boston, MA",239,44,0.15547703180212
"54","Jan.",2,"Tuesday",2016,"New York, NY",199,25,0.111607142857143
"55","Jan.",2,"Tuesday",2016,"Philadelphia, PA",455,60,0.116504854368932
"56","Jan.",2,"Tuesday",2017,"Philadelphia, PA",479,45,0.0858778625954199
"57","Jan.",2,"Tuesday",2018,"Philadelphia, PA",397,46,0.103837471783296
"58","Jan.",2,"Wednesday",2015,"Philadelphia, PA",394,21,0.0506024096385542
"59","Jan.",2,"Wednesday",2016,"Boston, MA",122,11,0.0827067669172932
"60","Jan.",2,"Wednesday",2016,"New York, NY",346,17,0.046831955922865
"61","Jan.",2,"Wednesday",2016,"Philadelphia, PA",481,34,0.0660194174757282
"62","Jan.",2,"Wednesday",2017,"Philadelphia, PA",657,92,0.12283044058745
"63","Jan.",2,"Wednesday",2018,"Philadelphia, PA",282,21,0.0693069306930693
"64","Jan.",3,"Friday",2015,"Philadelphia, PA",508,27,0.0504672897196262
"65","Jan.",3,"Friday",2016,"Boston, MA",288,32,0.1
"66","Jan.",3,"Friday",2016,"New York, NY",265,20,0.0701754385964912
"67","Jan.",3,"Friday",2016,"Philadelphia, PA",606,74,0.108823529411765
"68","Jan.",3,"Friday",2017,"Philadelphia, PA",640,131,0.169909208819715
"69","Jan.",3,"Friday",2018,"Philadelphia, PA",203,10,0.0469483568075117
"70","Jan.",3,"Monday",2015,"Philadelphia, PA",319,11,0.0333333333333333
"71","Jan.",3,"Monday",2016,"Boston, MA",221,23,0.0942622950819672
"72","Jan.",3,"Monday",2016,"New York, NY",343,14,0.0392156862745098
"73","Jan.",3,"Monday",2016,"Philadelphia, PA",515,26,0.0480591497227357
"74","Jan.",3,"Monday",2017,"Philadelphia, PA",587,65,0.0996932515337423
"75","Jan.",3,"Monday",2018,"Philadelphia, PA",425,33,0.0720524017467249
"76","Jan.",3,"Saturday",2015,"Philadelphia, PA",285,9,0.0306122448979592
"77","Jan.",3,"Saturday",2016,"Boston, MA",130,7,0.0510948905109489
"78","Jan.",3,"Saturday",2016,"New York, NY",51,3,0.0555555555555556
"79","Jan.",3,"Saturday",2016,"Philadelphia, PA",379,17,0.0429292929292929
"80","Jan.",3,"Saturday",2017,"Philadelphia, PA",369,45,0.108695652173913
"81","Jan.",3,"Saturday",2018,"Philadelphia, PA",231,20,0.0796812749003984
"82","Jan.",3,"Sunday",2015,"Philadelphia, PA",191,5,0.0255102040816327
"83","Jan.",3,"Sunday",2016,"Boston, MA",127,22,0.147651006711409
"84","Jan.",3,"Sunday",2016,"New York, NY",71,9,0.1125
"85","Jan.",3,"Sunday",2016,"Philadelphia, PA",438,59,0.118712273641851
"86","Jan.",3,"Sunday",2017,"Philadelphia, PA",359,61,0.145238095238095
"87","Jan.",3,"Sunday",2018,"Philadelphia, PA",345,28,0.0750670241286863
"88","Jan.",3,"Thursday",2015,"Philadelphia, PA",313,11,0.0339506172839506
"89","Jan.",3,"Thursday",2016,"Boston, MA",150,14,0.0853658536585366
"90","Jan.",3,"Thursday",2016,"New York, NY",239,9,0.0362903225806452
"91","Jan.",3,"Thursday",2016,"Philadelphia, PA",639,33,0.0491071428571429
"92","Jan.",3,"Thursday",2017,"Philadelphia, PA",534,124,0.188449848024316
"93","Jan.",3,"Thursday",2018,"Philadelphia, PA",344,25,0.0677506775067751
"94","Jan.",3,"Tuesday",2015,"Philadelphia, PA",562,34,0.0570469798657718
"95","Jan.",3,"Tuesday",2016,"Boston, MA",188,14,0.0693069306930693
"96","Jan.",3,"Tuesday",2016,"New York, NY",174,22,0.112244897959184
"97","Jan.",3,"Tuesday",2016,"Philadelphia, PA",378,61,0.138952164009112
"98","Jan.",3,"Tuesday",2017,"Philadelphia, PA",616,87,0.12375533428165
"99","Jan.",3,"Tuesday",2018,"Philadelphia, PA",569,32,0.0532445923460899
"100","Jan.",3,"Wednesday",2015,"Philadelphia, PA",533,27,0.0482142857142857
"101","Jan.",3,"Wednesday",2016,"Boston, MA",131,16,0.108843537414966
"102","Jan.",3,"Wednesday",2016,"New York, NY",151,16,0.0958083832335329
"103","Jan.",3,"Wednesday",2016,"Philadelphia, PA",619,62,0.0910425844346549
"104","Jan.",3,"Wednesday",2017,"Philadelphia, PA",658,259,0.282442748091603
"105","Jan.",3,"Wednesday",2018,"Philadelphia, PA",549,41,0.0694915254237288
"106","Jan.",4,"Friday",2015,"Philadelphia, PA",508,22,0.0415094339622641
"107","Jan.",4,"Friday",2016,"Boston, MA",276,26,0.0860927152317881
"108","Jan.",4,"Friday",2016,"New York, NY",224,4,0.0175438596491228
