"","date","topic","city_state","smoothed_mean_within_day","year"
"1",2014-06-08,"Politics","Philadelphia, PA",3.39921373008744,2014
"2",2014-06-08,"National Politics","Philadelphia, PA",1.08667619428364,2014
"3",2014-06-08,"Local Politics","Philadelphia, PA",2.22566119523382,2014
"4",2014-06-08,"Crime","Philadelphia, PA",8.18520231903695,2014
"5",2014-06-08,"Disaster","Philadelphia, PA",7.11423939805354,2014
"6",2014-06-08,"Sports","Philadelphia, PA",3.11279860960798,2014
"7",2014-06-08,"Weather","Philadelphia, PA",10.8527831898867,2014
"8",2014-06-10,"Politics","Philadelphia, PA",3.38531090478154,2014
"9",2014-06-10,"National Politics","Philadelphia, PA",1.08556134961539,2014
"10",2014-06-10,"Local Politics","Philadelphia, PA",2.22320714464366,2014
"11",2014-06-10,"Crime","Philadelphia, PA",8.18935122651752,2014
"12",2014-06-10,"Disaster","Philadelphia, PA",7.03088005298342,2014
"13",2014-06-10,"Sports","Philadelphia, PA",3.17655660307202,2014
"14",2014-06-10,"Weather","Philadelphia, PA",10.7350904981746,2014
"15",2014-06-11,"Politics","Philadelphia, PA",3.3784480427155,2014
"16",2014-06-11,"National Politics","Philadelphia, PA",1.08502759430581,2014
"17",2014-06-11,"Local Politics","Philadelphia, PA",2.22199020588709,2014
"18",2014-06-11,"Crime","Philadelphia, PA",8.19143183888272,2014
"19",2014-06-11,"Disaster","Philadelphia, PA",6.98972114936306,2014
"20",2014-06-11,"Sports","Philadelphia, PA",3.20801862911304,2014
"21",2014-06-11,"Weather","Philadelphia, PA",10.6770869083267,2014
"22",2014-06-12,"Politics","Philadelphia, PA",3.37164637351125,2014
"23",2014-06-12,"National Politics","Philadelphia, PA",1.08451069977211,2014
"24",2014-06-12,"Local Politics","Philadelphia, PA",2.22078145947203,2014
"25",2014-06-12,"Crime","Philadelphia, PA",8.19351996697956,2014
"26",2014-06-12,"Disaster","Philadelphia, PA",6.94891156455582,2014
"27",2014-06-12,"Sports","Philadelphia, PA",3.23920431202832,2014
"28",2014-06-12,"Weather","Philadelphia, PA",10.6196491666817,2014
"29",2014-06-13,"Politics","Philadelphia, PA",3.36490751652167,2014
"30",2014-06-13,"National Politics","Philadelphia, PA",1.08401147808394,2014
"31",2014-06-13,"Local Politics","Philadelphia, PA",2.21958200638537,2014
"32",2014-06-13,"Crime","Philadelphia, PA",8.19561816829434,2014
"33",2014-06-13,"Disaster","Philadelphia, PA",6.9084529032142,2014
"34",2014-06-13,"Sports","Philadelphia, PA",3.27011487981905,2014
"35",2014-06-13,"Weather","Philadelphia, PA",10.5627802813879,2014
"36",2014-06-14,"Politics","Philadelphia, PA",3.35823309109966,2014
"37",2014-06-14,"National Politics","Philadelphia, PA",1.08353074131094,2014
"38",2014-06-14,"Local Politics","Philadelphia, PA",2.21839294761398,2014
"39",2014-06-14,"Crime","Philadelphia, PA",8.19772900031335,2014
"40",2014-06-14,"Disaster","Philadelphia, PA",6.8683467699907,2014
"41",2014-06-14,"Sports","Philadelphia, PA",3.30075156048642,2014
"42",2014-06-14,"Weather","Philadelphia, PA",10.5064832605935,2014
"43",2014-06-15,"Politics","Philadelphia, PA",3.35162471659809,2014
"44",2014-06-15,"National Politics","Philadelphia, PA",1.08306930152275,2014
"45",2014-06-15,"Local Politics","Philadelphia, PA",2.21721538414475,2014
"46",2014-06-15,"Crime","Philadelphia, PA",8.19985502052286,2014
"47",2014-06-15,"Disaster","Philadelphia, PA",6.82859476953781,2014
"48",2014-06-15,"Sports","Philadelphia, PA",3.33111558203163,2014
"49",2014-06-15,"Weather","Philadelphia, PA",10.4507611124466,2014
"50",2014-06-16,"Politics","Philadelphia, PA",3.34508401236987,2014
"51",2014-06-16,"National Politics","Philadelphia, PA",1.08262797078901,2014
"52",2014-06-16,"Local Politics","Philadelphia, PA",2.21605041696456,2014
"53",2014-06-16,"Crime","Philadelphia, PA",8.20199878640918,2014
