"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"1","Jan.",1,"Friday",2015,"Philadelphia, PA",381,40,0.0950118764845606
"2","Jan.",1,"Friday",2016,"Boston, MA",179,34,0.15962441314554
"3","Jan.",1,"Friday",2016,"New York, NY",54,5,0.0847457627118644
"4","Jan.",1,"Friday",2016,"Philadelphia, PA",472,66,0.122676579925651
"5","Jan.",1,"Friday",2018,"Philadelphia, PA",1018,40,0.0378071833648393
"6","Jan.",1,"Monday",2018,"Philadelphia, PA",387,46,0.106235565819861
"7","Jan.",1,"Saturday",2015,"Philadelphia, PA",120,15,0.111111111111111
"8","Jan.",1,"Saturday",2016,"Boston, MA",137,21,0.132911392405063
"9","Jan.",1,"Saturday",2016,"New York, NY",207,9,0.0416666666666667
"10","Jan.",1,"Saturday",2016,"Philadelphia, PA",372,44,0.105769230769231
"11","Jan.",1,"Saturday",2018,"Philadelphia, PA",202,29,0.125541125541126
"12","Jan.",1,"Sunday",2015,"Philadelphia, PA",277,20,0.0673400673400673
"13","Jan.",1,"Sunday",2016,"Boston, MA",175,46,0.208144796380091
"14","Jan.",1,"Sunday",2016,"New York, NY",188,26,0.121495327102804
"15","Jan.",1,"Sunday",2016,"Philadelphia, PA",310,60,0.162162162162162
"16","Jan.",1,"Sunday",2017,"Philadelphia, PA",264,32,0.108108108108108
"17","Jan.",1,"Sunday",2018,"Philadelphia, PA",151,19,0.111764705882353
"18","Jan.",1,"Thursday",2015,"Philadelphia, PA",235,28,0.106463878326996
"19","Jan.",1,"Thursday",2018,"Philadelphia, PA",482,14,0.0282258064516129
"20","Jan.",1,"Tuesday",2018,"Philadelphia, PA",391,58,0.129175946547884
"21","Jan.",1,"Wednesday",2018,"Philadelphia, PA",374,40,0.0966183574879227
"22","Jan.",2,"Friday",2015,"Philadelphia, PA",422,71,0.144016227180527
"23","Jan.",2,"Friday",2016,"Boston, MA",46,12,0.206896551724138
