"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"1","Jan.",1,"Friday",2015,"Philadelphia, PA",310,111,0.263657957244656
"2","Jan.",1,"Friday",2016,"Boston, MA",158,55,0.258215962441315
"3","Jan.",1,"Friday",2016,"New York, NY",42,17,0.288135593220339
"4","Jan.",1,"Friday",2016,"Philadelphia, PA",348,190,0.353159851301115
"5","Jan.",1,"Friday",2018,"Philadelphia, PA",793,265,0.25047258979206
"6","Jan.",1,"Monday",2018,"Philadelphia, PA",239,194,0.448036951501155
"7","Jan.",1,"Saturday",2015,"Philadelphia, PA",79,56,0.414814814814815
"8","Jan.",1,"Saturday",2016,"Boston, MA",108,50,0.316455696202532
"9","Jan.",1,"Saturday",2016,"New York, NY",177,39,0.180555555555556
"10","Jan.",1,"Saturday",2016,"Philadelphia, PA",276,140,0.336538461538462
"11","Jan.",1,"Saturday",2018,"Philadelphia, PA",132,99,0.428571428571429
"12","Jan.",1,"Sunday",2015,"Philadelphia, PA",185,112,0.377104377104377
"13","Jan.",1,"Sunday",2016,"Boston, MA",142,79,0.357466063348416
"14","Jan.",1,"Sunday",2016,"New York, NY",146,68,0.317757009345794
"15","Jan.",1,"Sunday",2016,"Philadelphia, PA",228,142,0.383783783783784
"16","Jan.",1,"Sunday",2017,"Philadelphia, PA",188,108,0.364864864864865
"17","Jan.",1,"Sunday",2018,"Philadelphia, PA",107,63,0.370588235294118
"18","Jan.",1,"Thursday",2015,"Philadelphia, PA",178,85,0.32319391634981
"19","Jan.",1,"Thursday",2018,"Philadelphia, PA",359,137,0.276209677419355
"20","Jan.",1,"Tuesday",2018,"Philadelphia, PA",255,194,0.432071269487751
"21","Jan.",1,"Wednesday",2018,"Philadelphia, PA",204,210,0.507246376811594
"22","Jan.",2,"Friday",2015,"Philadelphia, PA",346,147,0.298174442190669
"23","Jan.",2,"Friday",2016,"Boston, MA",44,14,0.241379310344828
"24","Jan.",2,"Friday",2016,"New York, NY",160,44,0.215686274509804
"25","Jan.",2,"Friday",2016,"Philadelphia, PA",403,167,0.292982456140351
"26","Jan.",2,"Friday",2017,"Philadelphia, PA",248,229,0.480083857442348
"27","Jan.",2,"Friday",2018,"Philadelphia, PA",336,158,0.319838056680162
"28","Jan.",2,"Monday",2015,"Philadelphia, PA",204,133,0.394658753709199
"29","Jan.",2,"Monday",2016,"Boston, MA",154,72,0.31858407079646
"30","Jan.",2,"Monday",2016,"New York, NY",195,77,0.283088235294118
"31","Jan.",2,"Monday",2016,"Philadelphia, PA",286,150,0.344036697247706
"32","Jan.",2,"Monday",2017,"Philadelphia, PA",287,156,0.352144469525959
"33","Jan.",2,"Monday",2018,"Philadelphia, PA",166,198,0.543956043956044
"34","Jan.",2,"Saturday",2015,"Philadelphia, PA",257,104,0.28808864265928
"35","Jan.",2,"Saturday",2016,"Boston, MA",22,7,0.241379310344828
"36","Jan.",2,"Saturday",2016,"New York, NY",84,29,0.256637168141593
"37","Jan.",2,"Saturday",2016,"Philadelphia, PA",225,109,0.326347305389222
